Departure ICAO,Departure Time,Arrival ICAO,Arrival Time,Duration
LFBO,08:00z,LFPO,09:20z,1:20
LFPO,12:30z,LFBO,13:45z,1:15
LFPO,09:00z,LFBO,10:15z,1:15
LFBO,09:30z,LFPO,10:50z,1:20
LFPO,12:00z,LFBO,13:15z,1:15
LFBO,11:00z,LFPO,12:20z,1:20
LFBO,14:30z,LFPO,15:50z,1:20
LFPO,13:00z,LFBO,14:15z,1:15
LFBO,17:30z,LFPO,18:50z,1:20
LFPO,14:00z,LFBO,15:15z,1:15
LFBO,14:00z,LFPO,15:20z,1:20
LFPO,15:00z,LFBO,16:15z,1:15
LFBO,15:00z,LFPO,16:20z,1:20
LFPO,16:00z,LFBO,17:15z,1:15
LFBO,16:00z,LFPO,17:20z,1:20
LFPO,17:05z,LFBO,18:20z,1:15
LFBO,17:00z,LFPO,18:20z,1:20
LFPO,17:30z,LFBO,18:45z,1:15
LFBO,19:10z,LFPO,20:30z,1:20
LFBO,18:00z,LFPO,19:20z,1:20
LFPO,18:05z,LFBO,19:20z,1:15
LFPO,19:00z,LFBO,20:15z,1:15
LFBO,19:00z,LFPO,20:20z,1:20
LFPO,19:05z,LFBO,20:20z,1:15
LFPO,20:10z,LFBO,21:25z,1:15
LFBO,19:30z,LFPO,20:55z,1:25
LFPO,15:30z,LFBO,16:45z,1:15
LFBO,20:00z,LFPO,21:20z,1:20
LFMN,05:45z,LFPO,07:15z,1:30
LFPO,06:05z,LFMN,07:30z,1:25
LFMN,06:45z,LFPO,08:15z,1:30
LFPO,07:35z,LFMN,09:00z,1:25
LFPO,06:50z,LFMN,08:15z,1:25
LFMN,08:15z,LFPO,09:45z,1:30
LFPO,08:35z,LFMN,10:00z,1:25
LFMN,09:45z,LFPO,11:15z,1:30
LFMN,08:55z,LFPO,10:25z,1:30
LFPO,10:05z,LFMN,11:30z,1:25
LFPO,09:35z,LFMN,11:00z,1:25
LFMN,10:45z,LFPO,12:15z,1:30
LFPO,10:35z,LFMN,12:00z,1:25
LFMN,11:45z,LFPO,13:15z,1:30
LFPO,11:35z,LFMN,13:00z,1:25
LFMN,12:15z,LFPO,13:45z,1:30
LFMN,13:15z,LFPO,14:45z,1:30
LFPO,13:05z,LFMN,14:30z,1:25
LFMN,12:45z,LFPO,14:15z,1:30
LFPO,15:35z,LFMN,17:00z,1:25
LFPO,11:05z,LFMN,12:30z,1:25
LFPO,14:35z,LFMN,16:00z,1:25
LFMN,13:45z,LFPO,15:15z,1:30
LFPO,16:05z,LFMN,17:30z,1:25
LFPO,17:35z,LFMN,19:00z,1:25
LFMN,15:45z,LFPO,17:15z,1:30
LFMN,15:15z,LFPO,16:45z,1:30
LFPO,19:35z,LFMN,21:00z,1:25
LFPO,19:05z,LFMN,20:30z,1:25
LFMN,16:45z,LFPO,18:15z,1:30
LFMN,17:45z,LFPO,19:15z,1:30
LFPO,20:05z,LFMN,21:30z,1:25
LFMN,18:15z,LFPO,19:45z,1:30
LFPO,20:35z,LFMN,22:00z,1:25
LFMN,19:45z,LFPO,21:15z,1:30
LFMN,19:05z,LFPO,20:35z,1:30
LFBZ,08:45z,LFMN,10:05z,1:20
LFPG,06:05z,LFMN,07:40z,1:35
LFMN,08:35z,LFPG,10:15z,1:40
LFPG,07:30z,LFMN,09:05z,1:35
LFMN,10:00z,LFPG,11:35z,1:35
LFPG,08:30z,LFMN,10:10z,1:40
LFMN,11:05z,LFPG,12:45z,1:40
LFPG,11:40z,LFMN,13:15z,1:35
LFMN,14:10z,LFPG,15:45z,1:35
LFPG,14:40z,LFMN,16:20z,1:40
LFMN,17:15z,LFPG,18:55z,1:40
LFPG,17:20z,LFMN,18:50z,1:30
LFMN,19:40z,LFPG,21:20z,1:40
LFPG,20:00z,LFMN,21:35z,1:35
LFMN,05:00z,LFPG,06:35z,1:35
LFPG,16:15z,LFMN,17:50z,1:35
LFMN,18:50z,LFPG,20:25z,1:35
LFPG,06:30z,LFML,07:55z,1:25
LFML,08:50z,LFPG,10:25z,1:35
LFPG,11:05z,LFML,12:30z,1:25
LFML,13:25z,LFPG,15:00z,1:35
LFPG,09:05z,LFML,10:30z,1:25
LFML,11:25z,LFPG,13:05z,1:40
LFPG,14:45z,LFML,16:10z,1:25
LFML,17:05z,LFPG,18:40z,1:35
LFPG,16:10z,LFML,17:35z,1:25
LFML,18:30z,LFPG,20:05z,1:35
LFPG,20:00z,LFML,21:30z,1:30
LFML,05:00z,LFPG,06:35z,1:35
LFPG,07:10z,LFML,08:35z,1:25
LFML,09:30z,LFPG,11:00z,1:30
LFPG,17:10z,LFML,18:35z,1:25
LFML,19:30z,LFPG,21:10z,1:40
LFPG,08:50z,LFLL,10:05z,1:15
LFLL,10:50z,LFPG,12:05z,1:15
LFPG,07:20z,LFLL,08:30z,1:10
LFLL,09:25z,LFPG,10:40z,1:15
LFPG,12:00z,LFLL,13:05z,1:05
LFLL,14:00z,LFPG,15:10z,1:10
LFPG,12:15z,LFLL,13:20z,1:05
LFLL,14:15z,LFPG,15:25z,1:10
LFPG,15:25z,LFLL,16:35z,1:10
LFLL,17:30z,LFPG,18:45z,1:15
LFPG,20:20z,LFLL,21:30z,1:10
LFLL,05:55z,LFPG,07:10z,1:15
LFPG,06:00z,LFBO,07:30z,1:30
LFBO,08:25z,LFPG,09:55z,1:30
LFPG,08:15z,LFBO,09:35z,1:20
LFBO,10:30z,LFPG,12:05z,1:35
LFPG,14:15z,LFBO,15:45z,1:30
LFBO,16:40z,LFPG,18:10z,1:30
LFPG,16:05z,LFBO,17:35z,1:30
LFBO,18:30z,LFPG,20:00z,1:30
LFPG,17:15z,LFBO,18:45z,1:30
LFBO,19:40z,LFPG,21:10z,1:30
LFPG,20:15z,LFBO,21:35z,1:20
LFBO,05:05z,LFPG,06:40z,1:35
LFPG,10:50z,LFBO,12:10z,1:20
LFBO,13:05z,LFPG,14:40z,1:35
LFPG,07:30z,LFBO,08:50z,1:20
LFBO,09:45z,LFPG,11:20z,1:35
LFPG,09:15z,LFBO,10:35z,1:20
LFBO,11:30z,LFPG,13:05z,1:35
LFPG,11:50z,LFBO,13:10z,1:20
LFBO,14:05z,LFPG,15:40z,1:35
LFPG,18:35z,LFBO,19:55z,1:20
LFBO,06:05z,LFPG,07:40z,1:35
LFPG,08:00z,LFBD,09:15z,1:15
LFBD,10:10z,LFPG,11:35z,1:25
LFPG,07:00z,LFBD,08:15z,1:15
LFBD,09:10z,LFPG,10:35z,1:25
LFPG,12:30z,LFBD,13:45z,1:15
LFPG,12:00z,LFBD,13:15z,1:15
LFBD,14:45z,LFPG,16:10z,1:25
LFBD,14:15z,LFPG,15:40z,1:25
LFPG,08:45z,LFBD,10:00z,1:15
LFBD,10:50z,LFPG,12:15z,1:25
LFPG,15:25z,LFBD,16:40z,1:15
LFBD,17:35z,LFPG,19:00z,1:25
LFPG,20:35z,LFBD,21:50z,1:15
LFBD,05:00z,LFPG,06:25z,1:25
LFPG,17:00z,LFBD,18:15z,1:15
LFBD,19:10z,LFPG,20:35z,1:25
LFPG,07:40z,LFMT,09:00z,1:20
LFMT,09:50z,LFPG,11:20z,1:30
LFPG,11:25z,LFMT,12:50z,1:25
LFMT,13:45z,LFPG,15:15z,1:30
LFPG,15:15z,LFMT,16:40z,1:25
LFMT,17:30z,LFPG,19:05z,1:35
LFPG,07:30z,LFRS,08:35z,1:05
LFRS,09:30z,LFPG,10:35z,1:05
LFPG,13:05z,LFRS,14:10z,1:05
LFRS,15:05z,LFPG,16:15z,1:10
LFPG,15:55z,LFRS,17:00z,1:05
LFRS,17:55z,LFPG,19:05z,1:10
LFPG,07:30z,LFRB,08:45z,1:15
LFRB,09:35z,LFPG,10:55z,1:20
LFPG,15:40z,LFRB,16:50z,1:10
LFRB,17:40z,LFPG,19:00z,1:20
LFPO,14:15z,LFKF,16:00z,1:45
LFPO,07:05z,LFKF,08:50z,1:45
LFKF,09:40z,LFPO,11:25z,1:45
LFKF,16:45z,LFPO,18:30z,1:45
LFPO,16:10z,LFKJ,17:50z,1:40
LFKJ,18:40z,LFPO,20:20z,1:40
LFPO,06:30z,LFKJ,08:10z,1:40
LFPO,09:00z,LFKJ,10:40z,1:40
LFKJ,09:00z,LFPO,10:40z,1:40
LFKJ,11:25z,LFPO,13:05z,1:40
LFPO,10:15z,LFKC,11:50z,1:35
LFPO,10:35z,LFKB,12:10z,1:35
LFPO,12:20z,LFKC,13:55z,1:35
LFKC,14:40z,LFPO,16:20z,1:40
LFKC,13:00z,LFPO,14:40z,1:40
LFPO,11:40z,LFKB,13:20z,1:40
LFPO,15:45z,LFKB,17:25z,1:40
LFKB,14:10z,LFPO,15:50z,1:40
LFKB,18:10z,LFPO,19:50z,1:40
LFPO,06:50z,LFKB,08:30z,1:40
LFKB,09:20z,LFPO,11:00z,1:40
LFPO,16:30z,LFKB,18:10z,1:40
LFKB,19:00z,LFPO,20:40z,1:40
LFMN,05:30z,LFPG,07:05z,1:35
LFPG,16:50z,LFMN,18:20z,1:30
LFPG,13:00z,LFML,14:25z,1:25
LFML,10:30z,LFPG,12:05z,1:35
PTRO,09:10z,RCTP,13:10z,4:00
RCTP,04:25z,PTRO,08:10z,3:45
PTRO,06:35z,RCTP,10:35z,4:00
RCTP,01:45z,PTRO,05:35z,3:50
RCKH,00:01z,RJAA,03:20z,3:19
RJAA,04:20z,RCKH,08:50z,4:30
RCTP,08:25z,RJAA,11:30z,3:05
RJAA,00:20z,RCTP,04:30z,4:10
RCTP,06:25z,RJAA,09:30z,3:05
RJAA,10:30z,RCTP,14:45z,4:15
RCTP,23:00z,RJOA,01:15z,2:15
RJOA,02:15z,RCTP,05:10z,2:55
RCTP,08:25z,RJFF,10:35z,2:10
RJFF,11:35z,RCTP,14:20z,2:45
RCTP,00:25z,RJFK,02:20z,1:55
RJFK,03:25z,RCTP,05:55z,2:30
RCTP,00:10z,ROAH,01:45z,1:35
ROAH,02:55z,RCTP,04:35z,1:40
RCTP,08:50z,ROAH,10:20z,1:30
ROAH,11:20z,RCTP,13:00z,1:40
RCKH,05:05z,RJAA,08:25z,3:20
RJAA,09:25z,RCKH,14:05z,4:40
RCTP,01:45z,RJBB,04:20z,2:35
RJBB,05:30z,RCTP,08:45z,3:15
RCTP,23:35z,RJGG,02:05z,2:30
RJGG,03:05z,RCTP,06:40z,3:35
RCTP,00:05z,RJBB,02:35z,2:30
RJBB,03:45z,RCTP,07:00z,3:15
RCTP,07:45z,RKSI,10:15z,2:30
RKSI,11:15z,RCTP,14:10z,2:55
RCTP,06:30z,RJOT,08:55z,2:25
RJOT,09:55z,RCTP,13:05z,3:10
RCTP,07:40z,RKPK,09:50z,2:10
RKPK,10:50z,RCTP,13:30z,2:40
RCTP,23:40z,RKPK,01:50z,2:10
RKPK,02:50z,RCTP,05:30z,2:40
RCTP,22:00z,RKPK,00:10z,2:10
RKPK,01:10z,RCTP,03:50z,2:40
RCTP,06:30z,RJFT,08:30z,2:00
RJFT,09:30z,RCTP,12:05z,2:35
RCTP,23:00z,RJOT,01:20z,2:20
RJOT,02:20z,RCTP,05:35z,3:15
RCTP,09:35z,ZSPD,11:35z,2:00
ZSPD,12:50z,RCTP,14:55z,2:05
RCTP,23:45z,ZBAA,03:10z,3:25
ZBAA,04:25z,RCTP,07:45z,3:20
RCTP,07:35z,ZBAA,10:55z,3:20
ZBAA,12:25z,RCTP,15:50z,3:25
RCTP,06:05z,ZGGG,08:15z,2:10
ZGGG,09:30z,RCTP,11:35z,2:05
RCTP,07:30z,ZGSZ,09:25z,1:55
ZGSZ,10:45z,RCTP,12:30z,1:45
RCTP,00:01z,ZUTF,03:55z,3:54
ZUTF,05:15z,RCTP,08:35z,3:20
RCTP,23:15z,VHHH,01:15z,2:00
VHHH,02:20z,RCTP,04:05z,1:45
RCTP,14:30z,VHHH,16:30z,2:00
VHHH,05:45z,RCKH,07:20z,1:35
RCTP,05:35z,RPLL,07:55z,2:20
RPLL,08:55z,RCTP,11:05z,2:10
RCTP,00:10z,RPVM,03:10z,3:00
RPVM,04:10z,RCTP,06:55z,2:45
RCTP,16:10z,RPLL,18:30z,2:20
RPLL,19:35z,RCTP,21:45z,2:10
RCTP,01:30z,WMKP,06:20z,4:50
WMKP,07:20z,RCTP,11:55z,4:35
RCTP,11:55z,WIII,17:30z,5:35
WIII,18:30z,RCTP,00:01z,5:31
RCTP,23:15z,VVDN,02:10z,2:55
VVDN,03:20z,RCTP,06:05z,2:45
RCTP,06:30z,VVDN,09:25z,2:55
VVDN,10:35z,RCTP,13:20z,2:45
RCTP,00:15z,VVNB,03:35z,3:20
VVNB,04:35z,RCTP,07:10z,2:35
RCTP,06:10z,VVNB,09:30z,3:20
VVNB,10:30z,RCTP,13:10z,2:40
RCTP,23:00z,VTBS,02:50z,3:50
VTBS,03:55z,RCTP,07:25z,3:30
RCTP,14:30z,VTBS,18:35z,4:05
VTBS,19:35z,RCTP,23:15z,3:40
RCTP,23:20z,VTCC,03:25z,4:05
VTCC,04:25z,RCTP,07:50z,3:25
RCTP,00:01z,VHHH,02:10z,2:09
VHHH,03:10z,RCTP,04:55z,1:45
RCTP,02:45z,VHHH,05:00z,2:15
VHHH,06:05z,RCTP,07:50z,1:45
RCTP,06:30z,VHHH,08:35z,2:05
